"","caseid","year","degree","consci"
"31886",31886,1994,"Junior College","Only Some"
"31888",31888,1994,"Bachelor","Only Some"
"31889",31889,1994,"High School","Only Some"
"31890",31890,1994,"High School","Only Some"
"31892",31892,1994,"High School","Only Some"
"31895",31895,1994,"High School","A Great Deal"
"31896",31896,1994,"Bachelor","A Great Deal"
"31897",31897,1994,"High School","Only Some"
"31898",31898,1994,"Bachelor","A Great Deal"
"31899",31899,1994,"Graduate","Only Some"
"31900",31900,1994,"Bachelor","A Great Deal"
"31901",31901,1994,"Graduate","A Great Deal"
"31902",31902,1994,"Lt High School","Only Some"
"31904",31904,1994,"Bachelor","A Great Deal"
"31905",31905,1994,"Bachelor","Only Some"
"31908",31908,1994,"High School","Only Some"
"31910",31910,1994,"High School","Hardly Any"
"31912",31912,1994,"High School","A Great Deal"
"31913",31913,1994,"High School","A Great Deal"
"31914",31914,1994,"Junior College","Hardly Any"
"31915",31915,1994,"High School","Only Some"
"31917",31917,1994,"High School","Only Some"
"31918",31918,1994,"Graduate","A Great Deal"
"31920",31920,1994,"High School","A Great Deal"
"31921",31921,1994,"Lt High School","Only Some"
"31926",31926,1994,"High School","A Great Deal"
"31927",31927,1994,"High School","Only Some"
"31928",31928,1994,"Lt High School","A Great Deal"
"31929",31929,1994,"High School","Only Some"
"31930",31930,1994,"High School","A Great Deal"
"31931",31931,1994,"High School","Hardly Any"
"31933",31933,1994,"Bachelor","A Great Deal"
"31935",31935,1994,"High School","Only Some"
"31936",31936,1994,"Bachelor","A Great Deal"
"31937",31937,1994,"Bachelor","A Great Deal"
"31938",31938,1994,"High School","A Great Deal"
"31939",31939,1994,"Lt High School","Only Some"
"31941",31941,1994,"High School","Only Some"
"31943",31943,1994,"High School","Only Some"
"31945",31945,1994,"Bachelor","A Great Deal"
"31946",31946,1994,"High School","Only Some"
"31947",31947,1994,"Lt High School","Only Some"
"31950",31950,1994,"High School","Only Some"
"31952",31952,1994,"Lt High School","Hardly Any"
"31953",31953,1994,"High School","A Great Deal"
"31955",31955,1994,"High School","Hardly Any"
"31956",31956,1994,"Bachelor","Only Some"
"31959",31959,1994,"Junior College","Hardly Any"
"31962",31962,1994,"Junior College","Hardly Any"
"31963",31963,1994,"High School","Only Some"
"31965",31965,1994,"Lt High School","Only Some"
"31967",31967,1994,"Lt High School","Hardly Any"
"31968",31968,1994,"Junior College","Hardly Any"
"31971",31971,1994,"High School","Hardly Any"
"31973",31973,1994,"High School","Only Some"
"31976",31976,1994,"Bachelor","A Great Deal"
"31977",31977,1994,"High School","Only Some"
"31979",31979,1994,"High School","A Great Deal"
"31981",31981,1994,"Lt High School","A Great Deal"
"31982",31982,1994,"High School","Only Some"
"31983",31983,1994,"High School","Only Some"
"31984",31984,1994,"High School","A Great Deal"
"31986",31986,1994,"Lt High School","Only Some"
"31990",31990,1994,"High School","Only Some"
"31992",31992,1994,"High School","Only Some"
"31993",31993,1994,"High School","Hardly Any"
"31997",31997,1994,"High School","Only Some"
"31999",31999,1994,"Bachelor","A Great Deal"
"32001",32001,1994,"Lt High School","Only Some"
"32002",32002,1994,"Lt High School","A Great Deal"
"32003",32003,1994,"Lt High School","Only Some"
"32006",32006,1994,"High School","A Great Deal"
"32008",32008,1994,"Graduate","Only Some"
"32010",32010,1994,"Lt High School","Only Some"
"32011",32011,1994,"High School","Only Some"
"32012",32012,1994,"High School","Only Some"
"32014",32014,1994,"High School","A Great Deal"
"32015",32015,1994,"Lt High School","Only Some"
"32017",32017,1994,"High School","A Great Deal"
"32022",32022,1994,"Lt High School","Only Some"
"32025",32025,1994,"Lt High School","Only Some"
"32026",32026,1994,"Lt High School","Only Some"
"32027",32027,1994,"Bachelor","A Great Deal"
"32029",32029,1994,"Bachelor","A Great Deal"
"32030",32030,1994,"High School","A Great Deal"
"32031",32031,1994,"Graduate","A Great Deal"
"32032",32032,1994,"Bachelor","A Great Deal"
"32034",32034,1994,"Graduate","A Great Deal"
"32036",32036,1994,"High School","A Great Deal"
"32038",32038,1994,"High School","A Great Deal"
"32039",32039,1994,"High School","Only Some"
"32040",32040,1994,"Lt High School","A Great Deal"
"32043",32043,1994,"High School","Only Some"
"32044",32044,1994,"High School","Only Some"
"32047",32047,1994,"Lt High School","A Great Deal"
"32048",32048,1994,"Lt High School","Hardly Any"
"32049",32049,1994,"Junior College","Only Some"
"32051",32051,1994,"Lt High School","Only Some"
"32052",32052,1994,"Lt High School","A Great Deal"
"32053",32053,1994,"High School","Only Some"
"32054",32054,1994,"Lt High School","Only Some"
"32055",32055,1994,"High School","Hardly Any"
"32057",32057,1994,"High School","Only Some"
"32058",32058,1994,"High School","A Great Deal"
"32059",32059,1994,"High School","Only Some"
"32060",32060,1994,"Graduate","Only Some"
"32061",32061,1994,"Graduate","Only Some"
"32062",32062,1994,"High School","A Great Deal"
"32064",32064,1994,"High School","Only Some"
"32065",32065,1994,"Bachelor","Only Some"
"32066",32066,1994,"Lt High School","Hardly Any"
"32068",32068,1994,"High School","A Great Deal"
"32069",32069,1994,"High School","Only Some"
"32070",32070,1994,"Graduate","A Great Deal"
"32074",32074,1994,"High School","Hardly Any"
"32075",32075,1994,"Lt High School","Hardly Any"
"32076",32076,1994,"Lt High School","Only Some"
"32077",32077,1994,"High School","Only Some"
"32078",32078,1994,"High School","Only Some"
"32079",32079,1994,"Bachelor","Only Some"
"32082",32082,1994,"Junior College","Only Some"
"32083",32083,1994,"High School","Only Some"
"32085",32085,1994,"Lt High School","A Great Deal"
"32087",32087,1994,"High School","A Great Deal"
"32089",32089,1994,"High School","Only Some"
"32090",32090,1994,"Lt High School","Only Some"
"32092",32092,1994,"Lt High School","Only Some"
"32093",32093,1994,"High School","A Great Deal"
"32094",32094,1994,"High School","Only Some"
"32095",32095,1994,"High School","Only Some"
"32097",32097,1994,"High School","Only Some"
"32098",32098,1994,"High School","Only Some"
"32099",32099,1994,"High School","A Great Deal"
"32100",32100,1994,"High School","Hardly Any"
"32101",32101,1994,"High School","Only Some"
"32102",32102,1994,"Lt High School","Hardly Any"
"32103",32103,1994,"High School","Only Some"
"32106",32106,1994,"High School","A Great Deal"
"32108",32108,1994,"High School","Only Some"
"32110",32110,1994,"High School","Only Some"
"32111",32111,1994,"High School","A Great Deal"
"32116",32116,1994,"High School","Only Some"
"32117",32117,1994,"Lt High School","Only Some"
"32118",32118,1994,"High School","Only Some"
"32120",32120,1994,"Lt High School","Only Some"
"32121",32121,1994,"High School","Hardly Any"
"32122",32122,1994,"High School","Only Some"
"32124",32124,1994,"High School","Only Some"
"32125",32125,1994,"Lt High School","Only Some"
"32126",32126,1994,"High School","Hardly Any"
"32129",32129,1994,"Bachelor","Only Some"
"32131",32131,1994,"Bachelor","A Great Deal"
"32132",32132,1994,"High School","A Great Deal"
"32133",32133,1994,"High School","A Great Deal"
"32136",32136,1994,"Lt High School","Only Some"
"32137",32137,1994,"High School","Only Some"
"32138",32138,1994,"High School","Only Some"
"32139",32139,1994,"High School","A Great Deal"
"32141",32141,1994,"High School","Hardly Any"
"32144",32144,1994,"Lt High School","A Great Deal"
"32145",32145,1994,"Bachelor","Only Some"
"32151",32151,1994,"Lt High School","Only Some"
"32153",32153,1994,"High School","Only Some"
"32154",32154,1994,"Lt High School","A Great Deal"
"32155",32155,1994,"Lt High School","Hardly Any"
"32157",32157,1994,"High School","Hardly Any"
"32158",32158,1994,"Lt High School","Only Some"
"32159",32159,1994,"Lt High School","A Great Deal"
"32161",32161,1994,"Lt High School","Only Some"
"32163",32163,1994,"High School","Only Some"
"32164",32164,1994,"High School","Only Some"
"32165",32165,1994,"High School","Only Some"
"32167",32167,1994,"High School","Only Some"
"32169",32169,1994,"High School","Only Some"
"32170",32170,1994,"Lt High School","A Great Deal"
"32171",32171,1994,"High School","Hardly Any"
"32172",32172,1994,"Bachelor","Only Some"
"32174",32174,1994,"Lt High School","Only Some"
"32176",32176,1994,"Junior College","Only Some"
"32177",32177,1994,"High School","Only Some"
"32180",32180,1994,"Lt High School","Only Some"
"32181",32181,1994,"Lt High School","Only Some"
"32182",32182,1994,"Lt High School","Only Some"
"32183",32183,1994,"Junior College","A Great Deal"
"32184",32184,1994,"Junior College","Only Some"
"32185",32185,1994,"High School","A Great Deal"
"32189",32189,1994,"High School","Only Some"
"32190",32190,1994,"Bachelor","Only Some"
"32192",32192,1994,"Bachelor","A Great Deal"
"32194",32194,1994,"Graduate","A Great Deal"
"32196",32196,1994,"Bachelor","Hardly Any"
"32197",32197,1994,"High School","A Great Deal"
"32199",32199,1994,"High School","Only Some"
"32200",32200,1994,"Junior College","Only Some"
"32201",32201,1994,"Lt High School","Hardly Any"
"32204",32204,1994,"High School","A Great Deal"
"32205",32205,1994,"High School","Only Some"
"32207",32207,1994,"Bachelor","Only Some"
"32208",32208,1994,"Lt High School","Hardly Any"
"32209",32209,1994,"Lt High School","A Great Deal"
"32210",32210,1994,"Lt High School","Only Some"
"32211",32211,1994,"Lt High School","Only Some"
"32212",32212,1994,"Lt High School","Only Some"
"32214",32214,1994,"Lt High School","Only Some"
"32216",32216,1994,"High School","A Great Deal"
"32219",32219,1994,"High School","A Great Deal"
"32220",32220,1994,"High School","Hardly Any"
"32224",32224,1994,"High School","Only Some"
"32226",32226,1994,"Bachelor","A Great Deal"
"32227",32227,1994,"Bachelor","A Great Deal"
"32229",32229,1994,"High School","Only Some"
"32230",32230,1994,"Junior College","A Great Deal"
"32232",32232,1994,"High School","A Great Deal"
"32234",32234,1994,"High School","Hardly Any"
"32235",32235,1994,"Graduate","Only Some"
"32238",32238,1994,"High School","Hardly Any"
"32240",32240,1994,"High School","Only Some"
"32241",32241,1994,"Lt High School","A Great Deal"
"32242",32242,1994,"High School","Only Some"
"32245",32245,1994,"High School","Only Some"
"32246",32246,1994,"High School","Only Some"
"32249",32249,1994,"Bachelor","A Great Deal"
"32250",32250,1994,"High School","Only Some"
"32251",32251,1994,"Lt High School","Only Some"
"32254",32254,1994,"Junior College","Only Some"
"32255",32255,1994,"Junior College","A Great Deal"
"32257",32257,1994,"Bachelor","A Great Deal"
"32258",32258,1994,"Graduate","A Great Deal"
"32259",32259,1994,"High School","A Great Deal"
"32263",32263,1994,"High School","A Great Deal"
"32264",32264,1994,"High School","A Great Deal"
"32265",32265,1994,"High School","Only Some"
"32266",32266,1994,"High School","Hardly Any"
"32267",32267,1994,"Graduate","Only Some"
"32269",32269,1994,"High School","Only Some"
"32270",32270,1994,"High School","A Great Deal"
"32271",32271,1994,"High School","Hardly Any"
"32274",32274,1994,"High School","A Great Deal"
"32276",32276,1994,"Bachelor","A Great Deal"
"32278",32278,1994,"Graduate","A Great Deal"
"32279",32279,1994,"High School","Only Some"
"32280",32280,1994,"High School","Only Some"
"32281",32281,1994,"Junior College","A Great Deal"
"32283",32283,1994,"High School","A Great Deal"
"32286",32286,1994,"Bachelor","Only Some"
"32287",32287,1994,"High School","Only Some"
"32290",32290,1994,"Graduate","Only Some"
"32292",32292,1994,"High School","Only Some"
"32293",32293,1994,"High School","Only Some"
"32296",32296,1994,"High School","Only Some"
"32297",32297,1994,"High School","A Great Deal"
"32300",32300,1994,"Lt High School","Only Some"
"32301",32301,1994,"High School","A Great Deal"
"32302",32302,1994,"High School","Only Some"
"32303",32303,1994,"High School","Only Some"
"32305",32305,1994,"High School","A Great Deal"
"32306",32306,1994,"Bachelor","A Great Deal"
"32308",32308,1994,"Lt High School","Only Some"
"32310",32310,1994,"High School","A Great Deal"
"32312",32312,1994,"High School","Only Some"
"32315",32315,1994,"High School","Only Some"
"32317",32317,1994,"Lt High School","Only Some"
"32318",32318,1994,"High School","A Great Deal"
"32319",32319,1994,"High School","A Great Deal"
"32320",32320,1994,"Lt High School","Only Some"
"32322",32322,1994,"Lt High School","Only Some"
"32323",32323,1994,"High School","A Great Deal"
"32324",32324,1994,"Graduate","Hardly Any"
"32325",32325,1994,"High School","Only Some"
"32326",32326,1994,"Lt High School","Only Some"
"32330",32330,1994,"High School","Only Some"
"32331",32331,1994,"High School","A Great Deal"
"32332",32332,1994,"Lt High School","Hardly Any"
"32334",32334,1994,"High School","Hardly Any"
"32335",32335,1994,"Bachelor","Only Some"
"32337",32337,1994,"High School","Hardly Any"
"32339",32339,1994,"High School","Only Some"
"32341",32341,1994,"Bachelor","A Great Deal"
"32344",32344,1994,"Lt High School","A Great Deal"
"32345",32345,1994,"High School","A Great Deal"
"32347",32347,1994,"Bachelor","Only Some"
"32348",32348,1994,"High School","Only Some"
"32349",32349,1994,"Lt High School","Only Some"
"32350",32350,1994,"Graduate","A Great Deal"
"32351",32351,1994,"Bachelor","Only Some"
"32354",32354,1994,"High School","A Great Deal"
"32355",32355,1994,"High School","A Great Deal"
"32357",32357,1994,"High School","Only Some"
"32358",32358,1994,"High School","Only Some"
"32359",32359,1994,"High School","Only Some"
"32360",32360,1994,"Bachelor","A Great Deal"
"32361",32361,1994,"High School","A Great Deal"
"32364",32364,1994,"Lt High School","Hardly Any"
"32365",32365,1994,"High School","A Great Deal"
"32366",32366,1994,"High School","A Great Deal"
"32370",32370,1994,"Bachelor","A Great Deal"
"32371",32371,1994,"Junior College","Only Some"
"32372",32372,1994,"Bachelor","Only Some"
"32373",32373,1994,"High School","Only Some"
"32374",32374,1994,"High School","Hardly Any"
"32375",32375,1994,"Junior College","Only Some"
"32376",32376,1994,"High School","A Great Deal"
"32377",32377,1994,"High School","A Great Deal"
"32378",32378,1994,"High School","Only Some"
"32379",32379,1994,"High School","A Great Deal"
"32380",32380,1994,"Bachelor","Only Some"
"32381",32381,1996,"High School","Only Some"
"32384",32384,1996,"Lt High School","A Great Deal"
"32387",32387,1996,"High School","Hardly Any"
"32388",32388,1996,"High School","A Great Deal"
"32389",32389,1996,"High School","A Great Deal"
"32391",32391,1996,"Graduate","Only Some"
"32393",32393,1996,"Bachelor","Only Some"
"32397",32397,1996,"High School","Only Some"
"32398",32398,1996,"Graduate","A Great Deal"
"32399",32399,1996,"High School","Hardly Any"
"32404",32404,1996,"High School","Hardly Any"
"32405",32405,1996,"Lt High School","A Great Deal"
"32406",32406,1996,"High School","Only Some"
"32407",32407,1996,"Bachelor","A Great Deal"
"32408",32408,1996,"Bachelor","A Great Deal"
"32409",32409,1996,"Bachelor","A Great Deal"
"32410",32410,1996,"Bachelor","Only Some"
"32411",32411,1996,"Graduate","A Great Deal"
"32413",32413,1996,"Junior College","A Great Deal"
"32417",32417,1996,"Lt High School","Hardly Any"
"32419",32419,1996,"Lt High School","A Great Deal"
"32421",32421,1996,"High School","A Great Deal"
"32423",32423,1996,"Graduate","A Great Deal"
"32424",32424,1996,"Lt High School","A Great Deal"
"32429",32429,1996,"High School","Only Some"
"32431",32431,1996,"High School","A Great Deal"
"32433",32433,1996,"High School","A Great Deal"
"32437",32437,1996,"Bachelor","Only Some"
"32439",32439,1996,"High School","Only Some"
"32440",32440,1996,"Lt High School","A Great Deal"
"32442",32442,1996,"Bachelor","A Great Deal"
"32443",32443,1996,"High School","Only Some"
"32445",32445,1996,"Bachelor","A Great Deal"
"32447",32447,1996,"Junior College","A Great Deal"
"32449",32449,1996,"High School","A Great Deal"
"32450",32450,1996,"High School","A Great Deal"
"32452",32452,1996,"Bachelor","Only Some"
"32453",32453,1996,"High School","A Great Deal"
"32459",32459,1996,"Lt High School","A Great Deal"
"32461",32461,1996,"High School","Only Some"
"32462",32462,1996,"High School","Only Some"
"32463",32463,1996,"Bachelor","Hardly Any"
"32465",32465,1996,"High School","Only Some"
"32468",32468,1996,"Bachelor","A Great Deal"
"32469",32469,1996,"Bachelor","A Great Deal"
"32470",32470,1996,"Graduate","Only Some"
"32471",32471,1996,"Lt High School","Only Some"
"32472",32472,1996,"Bachelor","A Great Deal"
"32474",32474,1996,"High School","Only Some"
"32475",32475,1996,"Bachelor","Only Some"
"32477",32477,1996,"Lt High School","Only Some"
"32481",32481,1996,"High School","Only Some"
"32482",32482,1996,"Lt High School","Only Some"
"32483",32483,1996,"High School","Only Some"
"32484",32484,1996,"High School","A Great Deal"
"32488",32488,1996,"Lt High School","Only Some"
"32489",32489,1996,"Bachelor","A Great Deal"
"32490",32490,1996,"High School","Only Some"
"32491",32491,1996,"High School","Only Some"
"32492",32492,1996,"High School","Hardly Any"
"32494",32494,1996,"High School","A Great Deal"
"32496",32496,1996,"High School","A Great Deal"
"32497",32497,1996,"Lt High School","Only Some"
"32498",32498,1996,"Graduate","A Great Deal"
"32499",32499,1996,"Junior College","A Great Deal"
"32502",32502,1996,"Lt High School","A Great Deal"
"32503",32503,1996,"High School","Hardly Any"
"32507",32507,1996,"High School","Only Some"
"32509",32509,1996,"High School","A Great Deal"
"32510",32510,1996,"High School","Only Some"
"32512",32512,1996,"High School","Only Some"
"32514",32514,1996,"High School","Only Some"
"32516",32516,1996,"High School","Only Some"
"32518",32518,1996,"Lt High School","Only Some"
"32520",32520,1996,"Junior College","Only Some"
"32521",32521,1996,"High School","Only Some"
"32522",32522,1996,"High School","Only Some"
"32523",32523,1996,"Lt High School","Only Some"
"32524",32524,1996,"Lt High School","Only Some"
"32525",32525,1996,"High School","Only Some"
"32526",32526,1996,"High School","Only Some"
"32528",32528,1996,"High School","A Great Deal"
"32530",32530,1996,"High School","A Great Deal"
"32531",32531,1996,"Junior College","Only Some"
"32532",32532,1996,"Lt High School","A Great Deal"
"32535",32535,1996,"High School","Only Some"
"32536",32536,1996,"High School","Only Some"
"32537",32537,1996,"High School","Only Some"
"32538",32538,1996,"High School","Hardly Any"
"32541",32541,1996,"High School","Only Some"
"32542",32542,1996,"Bachelor","A Great Deal"
"32543",32543,1996,"Graduate","A Great Deal"
"32544",32544,1996,"High School","Only Some"
"32549",32549,1996,"High School","A Great Deal"
"32550",32550,1996,"High School","A Great Deal"
"32554",32554,1996,"Bachelor","Only Some"
"32555",32555,1996,"High School","A Great Deal"
"32556",32556,1996,"High School","Only Some"
"32557",32557,1996,"High School","Only Some"
"32559",32559,1996,"Bachelor","Only Some"
"32562",32562,1996,"High School","Only Some"
"32563",32563,1996,"Graduate","Hardly Any"
"32564",32564,1996,"Bachelor","Only Some"
"32565",32565,1996,"Bachelor","Only Some"
"32566",32566,1996,"High School","Only Some"
"32568",32568,1996,"Bachelor","A Great Deal"
"32571",32571,1996,"Bachelor","A Great Deal"
"32572",32572,1996,"Bachelor","A Great Deal"
"32573",32573,1996,"High School","Only Some"
"32574",32574,1996,"High School","Hardly Any"
"32575",32575,1996,"Junior College","A Great Deal"
"32576",32576,1996,"Bachelor","Only Some"
"32577",32577,1996,"Bachelor","A Great Deal"
"32579",32579,1996,"High School","Only Some"
"32581",32581,1996,"High School","A Great Deal"
"32582",32582,1996,"High School","A Great Deal"
"32585",32585,1996,"Graduate","A Great Deal"
"32586",32586,1996,"High School","Hardly Any"
"32587",32587,1996,"Bachelor","A Great Deal"
"32588",32588,1996,"Lt High School","Only Some"
"32589",32589,1996,"High School","Only Some"
"32590",32590,1996,"High School","Only Some"
"32591",32591,1996,"Bachelor","Only Some"
"32593",32593,1996,"Bachelor","A Great Deal"
"32597",32597,1996,"Bachelor","Only Some"
"32598",32598,1996,"Bachelor","A Great Deal"
"32599",32599,1996,"High School","Only Some"
"32600",32600,1996,"Bachelor","Only Some"
"32601",32601,1996,"High School","Only Some"
"32605",32605,1996,"Lt High School","Only Some"
"32607",32607,1996,"Bachelor","Only Some"
"32608",32608,1996,"Bachelor","A Great Deal"
"32609",32609,1996,"Bachelor","A Great Deal"
"32610",32610,1996,"Bachelor","Only Some"
"32611",32611,1996,"Bachelor","Only Some"
"32613",32613,1996,"High School","Only Some"
"32615",32615,1996,"Bachelor","Only Some"
"32616",32616,1996,"Graduate","A Great Deal"
"32617",32617,1996,"Bachelor","A Great Deal"
"32618",32618,1996,"Bachelor","A Great Deal"
"32619",32619,1996,"Junior College","Only Some"
"32620",32620,1996,"Graduate","A Great Deal"
"32623",32623,1996,"High School","Only Some"
"32624",32624,1996,"Lt High School","Only Some"
"32625",32625,1996,"High School","A Great Deal"
"32627",32627,1996,"High School","Only Some"
"32628",32628,1996,"Lt High School","A Great Deal"
"32629",32629,1996,"High School","A Great Deal"
"32631",32631,1996,"Lt High School","A Great Deal"
"32632",32632,1996,"High School","A Great Deal"
"32634",32634,1996,"Lt High School","Only Some"
"32635",32635,1996,"Junior College","A Great Deal"
"32636",32636,1996,"High School","Only Some"
"32637",32637,1996,"Junior College","A Great Deal"
"32639",32639,1996,"Junior College","Only Some"
"32641",32641,1996,"High School","Only Some"
"32643",32643,1996,"Bachelor","A Great Deal"
"32644",32644,1996,"High School","Only Some"
"32646",32646,1996,"Junior College","Only Some"
"32648",32648,1996,"High School","A Great Deal"
"32651",32651,1996,"Bachelor","A Great Deal"
"32653",32653,1996,"High School","Only Some"
"32654",32654,1996,"High School","A Great Deal"
"32655",32655,1996,"High School","A Great Deal"
"32658",32658,1996,"Lt High School","Only Some"
"32659",32659,1996,"High School","Only Some"
"32660",32660,1996,"Bachelor","Only Some"
"32662",32662,1996,"High School","A Great Deal"
"32663",32663,1996,"High School","Only Some"
"32664",32664,1996,"High School","Only Some"
"32665",32665,1996,"High School","Only Some"
"32666",32666,1996,"Bachelor","A Great Deal"
"32667",32667,1996,"High School","Only Some"
"32668",32668,1996,"High School","Only Some"
"32670",32670,1996,"High School","A Great Deal"
"32672",32672,1996,"Junior College","A Great Deal"
"32674",32674,1996,"Bachelor","A Great Deal"
"32675",32675,1996,"Lt High School","A Great Deal"
"32676",32676,1996,"Lt High School","A Great Deal"
"32677",32677,1996,"High School","A Great Deal"
"32681",32681,1996,"High School","Only Some"
"32682",32682,1996,"High School","Only Some"
"32684",32684,1996,"High School","Only Some"
"32685",32685,1996,"High School","A Great Deal"
"32686",32686,1996,"Junior College","Only Some"
"32688",32688,1996,"High School","A Great Deal"
"32689",32689,1996,"High School","A Great Deal"
"32690",32690,1996,"Junior College","A Great Deal"
"32693",32693,1996,"Bachelor","A Great Deal"
"32694",32694,1996,"High School","Only Some"
"32695",32695,1996,"Lt High School","Hardly Any"
"32696",32696,1996,"Graduate","A Great Deal"
"32697",32697,1996,"High School","A Great Deal"
"32700",32700,1996,"Bachelor","Hardly Any"
"32702",32702,1996,"Bachelor","A Great Deal"
"32704",32704,1996,"Junior College","A Great Deal"
"32705",32705,1996,"Graduate","Only Some"
"32706",32706,1996,"Bachelor","A Great Deal"
"32707",32707,1996,"High School","A Great Deal"
"32708",32708,1996,"High School","A Great Deal"
"32711",32711,1996,"High School","Only Some"
"32712",32712,1996,"High School","A Great Deal"
"32713",32713,1996,"Bachelor","A Great Deal"
"32714",32714,1996,"High School","Hardly Any"
"32715",32715,1996,"High School","Only Some"
"32719",32719,1996,"Junior College","A Great Deal"
"32720",32720,1996,"Junior College","A Great Deal"
"32721",32721,1996,"Bachelor","A Great Deal"
"32722",32722,1996,"High School","Hardly Any"
"32723",32723,1996,"High School","Only Some"
"32725",32725,1996,"High School","A Great Deal"
"32726",32726,1996,"Lt High School","Hardly Any"
"32727",32727,1996,"High School","Hardly Any"
"32729",32729,1996,"Lt High School","Hardly Any"
"32730",32730,1996,"High School","Only Some"
"32731",32731,1996,"High School","Hardly Any"
"32732",32732,1996,"Graduate","A Great Deal"
"32733",32733,1996,"High School","Hardly Any"
"32734",32734,1996,"High School","Only Some"
"32739",32739,1996,"Lt High School","Hardly Any"
"32741",32741,1996,"Lt High School","A Great Deal"
"32742",32742,1996,"High School","A Great Deal"
"32743",32743,1996,"High School","A Great Deal"
"32745",32745,1996,"Junior College","Only Some"
"32746",32746,1996,"High School","Only Some"
"32748",32748,1996,"Bachelor","A Great Deal"
"32751",32751,1996,"Bachelor","A Great Deal"
"32752",32752,1996,"Graduate","Only Some"
"32753",32753,1996,"Graduate","A Great Deal"
"32755",32755,1996,"Bachelor","A Great Deal"
"32756",32756,1996,"Junior College","Only Some"
"32757",32757,1996,"High School","A Great Deal"
"32758",32758,1996,"Bachelor","A Great Deal"
"32760",32760,1996,"High School","Only Some"
"32761",32761,1996,"Bachelor","A Great Deal"
"32763",32763,1996,"Graduate","A Great Deal"
"32764",32764,1996,"High School","Hardly Any"
"32765",32765,1996,"High School","A Great Deal"
"32766",32766,1996,"Bachelor","A Great Deal"
"32768",32768,1996,"High School","A Great Deal"
"32770",32770,1996,"Junior College","Only Some"
"32772",32772,1996,"High School","A Great Deal"
"32775",32775,1996,"High School","Only Some"
"32776",32776,1996,"Bachelor","Only Some"
"32778",32778,1996,"High School","Only Some"
"32782",32782,1996,"High School","Only Some"
"32783",32783,1996,"High School","Only Some"
"32785",32785,1996,"Bachelor","Only Some"
"32786",32786,1996,"High School","Hardly Any"
"32787",32787,1996,"Bachelor","A Great Deal"
"32788",32788,1996,"Bachelor","A Great Deal"
"32789",32789,1996,"Junior College","Only Some"
"32790",32790,1996,"High School","Only Some"
"32791",32791,1996,"Lt High School","Hardly Any"
"32792",32792,1996,"Lt High School","Only Some"
"32794",32794,1996,"Lt High School","Only Some"
"32795",32795,1996,"High School","A Great Deal"
"32797",32797,1996,"Junior College","A Great Deal"
"32798",32798,1996,"High School","Only Some"
"32799",32799,1996,"High School","A Great Deal"
"32801",32801,1996,"High School","Only Some"
"32803",32803,1996,"Bachelor","A Great Deal"
"32806",32806,1996,"Bachelor","A Great Deal"
"32807",32807,1996,"High School","Only Some"
"32808",32808,1996,"High School","Only Some"
"32812",32812,1996,"Lt High School","Only Some"
"32813",32813,1996,"High School","Only Some"
"32814",32814,1996,"High School","Only Some"
"32816",32816,1996,"Junior College","Only Some"
"32817",32817,1996,"Lt High School","Hardly Any"
"32818",32818,1996,"Junior College","A Great Deal"
"32820",32820,1996,"Lt High School","Only Some"
"32821",32821,1996,"High School","Only Some"
"32822",32822,1996,"Bachelor","Only Some"
"32823",32823,1996,"High School","Only Some"
"32824",32824,1996,"Lt High School","Only Some"
"32825",32825,1996,"Lt High School","A Great Deal"
"32826",32826,1996,"High School","Only Some"
"32828",32828,1996,"Bachelor","A Great Deal"
"32829",32829,1996,"Bachelor","A Great Deal"
"32830",32830,1996,"Graduate","Only Some"
"32832",32832,1996,"High School","A Great Deal"
"32833",32833,1996,"High School","A Great Deal"
"32834",32834,1996,"Lt High School","Only Some"
"32835",32835,1996,"High School","Only Some"
"32837",32837,1996,"Bachelor","A Great Deal"
"32842",32842,1996,"High School","A Great Deal"
"32844",32844,1996,"Graduate","Only Some"
"32846",32846,1996,"Graduate","Only Some"
"32848",32848,1996,"High School","Only Some"
"32849",32849,1996,"High School","Only Some"
"32850",32850,1996,"High School","Only Some"
"32854",32854,1996,"High School","A Great Deal"
"32856",32856,1996,"High School","Hardly Any"
"32857",32857,1996,"High School","Only Some"
"32860",32860,1996,"Lt High School","A Great Deal"
"32861",32861,1996,"Lt High School","Only Some"
"32862",32862,1996,"High School","A Great Deal"
"32863",32863,1996,"High School","Hardly Any"
"32866",32866,1996,"Graduate","A Great Deal"
"32867",32867,1996,"High School","Only Some"
"32868",32868,1996,"High School","Only Some"
"32869",32869,1996,"Bachelor","Only Some"
"32871",32871,1996,"Bachelor","Only Some"
"32873",32873,1996,"Lt High School","A Great Deal"
"32874",32874,1996,"Lt High School","Only Some"
"32875",32875,1996,"High School","A Great Deal"
"32877",32877,1996,"High School","A Great Deal"
"32878",32878,1996,"Lt High School","Hardly Any"
"32883",32883,1996,"Lt High School","Hardly Any"
"32884",32884,1996,"High School","Only Some"
"32886",32886,1996,"High School","Hardly Any"
"32887",32887,1996,"High School","Hardly Any"
"32889",32889,1996,"High School","Only Some"
"32890",32890,1996,"Bachelor","A Great Deal"
"32893",32893,1996,"High School","Only Some"
"32895",32895,1996,"High School","Only Some"
"32896",32896,1996,"Bachelor","Only Some"
"32897",32897,1996,"High School","A Great Deal"
"32899",32899,1996,"Bachelor","A Great Deal"
